# Science & Nature — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Nothing here is a live figure. Records fall and instruments improve, and a
# quiz that quotes the tallest, fastest or newest anything is a quiz that
# goes wrong quietly. Constants, structures and settled findings only.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | science
! name    | Science & Nature
! icon    | leaf
! tint    | 0.34 0.65 0.42
! rank    | 2


# --- The human body ---

E | How many bones are in an adult human body? | 206 | 186 | 226 | 306
H | How many liters are in a cubic meter? | One thousand | One hundred | Ten thousand | Ten
H | What does a hygrometer measure? | Humidity | Pressure | Rainfall | Sunlight
H | How many yards are in a mile? | 1,760 | 1,000 | 2,000 | 1,500
H | Which prefix means one billionth? | Nano | Micro | Milli | Pico
H | Which prefix means one millionth? | Micro | Nano | Milli | Centi
H | What does a Geiger counter detect? | Radiation | Sound | Magnetism | Heat

# --- Ecology and food chains ---

E | What do we call an animal that hunts other animals for food? | A predator | A prey | A scavenger | A parasite
E | What is at the base of almost every food chain? | Plants | Insects | Predators | Fungi
E | What do we call all the living things in one area and their surroundings? | An ecosystem | A population | A species | A biome
M | What do we call an animal that eats both plants and meat? | An omnivore | A herbivore | A carnivore | A detritivore
M | Which organisms break down dead matter and return nutrients to soil? | Decomposers | Producers | Consumers | Predators
M | What do we call a relationship where both species benefit? | Mutualism | Parasitism | Commensalism | Competition
M | What do we call a relationship where one benefits and the other is harmed? | Parasitism | Mutualism | Commensalism | Predation
M | Which term describes a species found in only one place on Earth? | Endemic | Invasive | Migratory | Extinct
M | What do we call a species brought in that harms local wildlife? | An invasive species | An endemic species | A keystone species | An indicator species
M | Roughly how much energy passes to the next level of a food chain? | About ten percent | About fifty percent | About ninety percent | All of it
H | What do we call a species whose loss would reshape its whole ecosystem? | A keystone species | An umbrella species | A pioneer species | A flagship species
H | What do we call the gradual return of life to a cleared area? | Succession | Migration | Adaptation | Speciation
H | Which cycle moves nitrogen between air, soil and living things? | The nitrogen cycle | The carbon cycle | The water cycle | The rock cycle
H | Which biome is defined by permanently frozen subsoil? | Tundra | Taiga | Desert | Grassland
H | What do we call the role a species plays in its ecosystem? | Its niche | Its habitat | Its range | Its territory
H | Which term describes animals that sleep through the winter? | Hibernation | Estivation | Migration | Torpor
H | Which term describes animals that sleep through hot, dry periods? | Estivation | Hibernation | Diapause | Brumation
H | Which layer of the rainforest receives the most sunlight? | The emergent layer | The canopy | The understory | The forest floor

# --- Cells and genetics ---

E | What is the basic unit of all living things? | The cell | The atom | The molecule | The organ
E | What molecule carries genetic instructions? | DNA | RNA | ATP | Protein
M | What is the control center of a cell called? | The nucleus | The cytoplasm | The membrane | The vacuole
M | Which part of the cell releases energy from food? | The mitochondrion | The nucleus | The ribosome | The lysosome
M | Which shape describes the DNA molecule? | A double helix | A single spiral | A ladder loop | A branched chain
M | Which process divides one cell into two identical cells? | Mitosis | Meiosis | Fertilization | Osmosis
M | Which process makes sex cells with half the chromosomes? | Meiosis | Mitosis | Binary fission | Budding
M | Which cells have no nucleus? | Bacteria | Plant cells | Animal cells | Fungal cells
M | Which part of the cell makes proteins? | The ribosome | The nucleus | The vacuole | The chloroplast
M | What do we call different versions of the same gene? | Alleles | Chromosomes | Genomes | Codons
H | How many bases make up the genetic code of DNA? | Four | Two | Twenty | Sixty-four
H | Which base pairs with adenine in DNA? | Thymine | Guanine | Cytosine | Uracil
H | Which base replaces thymine in RNA? | Uracil | Cytosine | Guanine | Adenine
H | What do we call an organism's full set of genetic material? | Its genome | Its phenotype | Its karyotype | Its proteome
H | What do we call an organism's observable traits? | Its phenotype | Its genotype | Its genome | Its allele set
H | Which chromosome pair determines sex in humans? | The twenty-third | The first | The twenty-second | The twentieth
H | Which molecule carries the genetic message out of the nucleus? | Messenger RNA | Transfer RNA | DNA polymerase | ATP
H | What do we call a permanent change in a DNA sequence? | A mutation | A translation | A transcription | A replication
H | Which membrane process moves water across a barrier? | Osmosis | Diffusion | Active transport | Filtration
H | Which term describes cells that can become many different types? | Stem cells | Somatic cells | Germ cells | Gametes

# --- Light, sound and waves ---

E | What do we call the bouncing of light off a mirror? | Reflection | Refraction | Diffraction | Absorption
E | How many colors are usually named in a rainbow? | Seven | Five | Six | Eight
E | Which color of light is bent least by a prism? | Red | Violet | Blue | Green
M | What do we call the bending of light as it changes medium? | Refraction | Reflection | Diffusion | Dispersion
M | Which instrument uses lenses to see distant objects? | A telescope | A microscope | A periscope | A kaleidoscope
M | Which unit measures the loudness of sound? | The decibel | The hertz | The watt | The lumen
M | What does the frequency of a sound wave determine? | Its pitch | Its loudness | Its speed | Its direction
M | Can sound travel through a vacuum? | No, it needs a medium | Yes, like light | Only at high volume | Only at low pitch
M | Which kind of wave is sound? | A longitudinal wave | A transverse wave | An electromagnetic wave | A standing wave
M | Which kind of wave is light? | An electromagnetic wave | A longitudinal wave | A sound wave | A mechanical wave
H | Which part of the electromagnetic spectrum has the longest wavelength? | Radio waves | Gamma rays | X-rays | Ultraviolet
H | Which invisible light causes sunburn? | Ultraviolet | Infrared | Radio | Microwave
H | Which invisible light do we feel as heat from a fire? | Infrared | Ultraviolet | X-rays | Gamma rays
H | What do we call the splitting of white light into colors? | Dispersion | Reflection | Diffraction | Polarization
H | What is the highest point of a wave called? | The crest | The trough | The node | The amplitude
H | What is the distance between two wave crests called? | The wavelength | The amplitude | The frequency | The period
H | What do we call the bending of waves around an obstacle? | Diffraction | Refraction | Reflection | Interference
H | Why does a straw look bent in a glass of water? | Light refracts at the surface | The glass magnifies it | Water absorbs light | The straw actually bends
H | What do we call sound above the range of human hearing? | Ultrasound | Infrasound | Supersound | Hypersound
H | Roughly how fast does sound travel in air? | About 767 miles per hour | About 186,000 miles per hour | About 100 miles per hour | About 3,000 miles per hour

# --- Electricity and magnetism ---

E | Which material lets electricity flow easily? | Copper | Rubber | Glass | Wood
E | Which material blocks the flow of electricity? | Rubber | Copper | Silver | Aluminum
E | What are the two poles of a magnet called? | North and south | Positive and negative | Plus and minus | Left and right
E | What happens when two north poles of magnets are brought together? | They repel | They attract | Nothing happens | They stick briefly
M | What does a battery store? | Chemical energy | Electrical charge alone | Heat | Light
M | What do we call a complete path that electricity can flow around? | A circuit | A conductor | A current | A capacitor
M | In which circuit do all parts share a single path? | A series circuit | A parallel circuit | A closed loop | A short circuit
M | What is the flow of electric charge called? | Current | Voltage | Resistance | Power
M | Which unit measures electric potential difference? | The volt | The ampere | The ohm | The coulomb
M | What device turns electrical energy into motion? | A motor | A generator | A transformer | A resistor
M | What device turns motion into electrical energy? | A generator | A motor | A battery | A capacitor
H | Which law relates voltage, current and resistance? | Ohm's law | Faraday's law | Coulomb's law | Lenz's law
H | Which scientist gave his name to the unit of electric current? | Andre-Marie Ampere | Alessandro Volta | Georg Ohm | Michael Faraday
H | Which scientist showed that a changing magnetic field creates current? | Michael Faraday | James Maxwell | Nikola Tesla | Heinrich Hertz
H | Which metal is most commonly used in household wiring? | Copper | Iron | Steel | Zinc
H | What surrounds the Earth and deflects charged particles from the Sun? | The magnetosphere | The ionosphere | The ozone layer | The exosphere
H | Which display in polar skies is caused by solar particles? | The aurora | The zodiacal light | Airglow | The green flash
H | Which type of current reverses direction many times a second? | Alternating current | Direct current | Static current | Induced current
H | What does a fuse do in a circuit? | It breaks the circuit if current is too high | It stores charge | It boosts voltage | It reduces resistance
H | Which particle's flow makes up current in a metal wire? | Electrons | Protons | Neutrons | Ions

# --- Fossils and deep time ---

E | What do we call the preserved remains of ancient life in rock? | Fossils | Minerals | Crystals | Sediments
E | Which giant reptiles died out about sixty-six million years ago? | The dinosaurs | The mammoths | The trilobites | The pterosaurs
E | Which dinosaur is known for its huge skull and small arms? | Tyrannosaurus rex | Stegosaurus | Triceratops | Brachiosaurus
M | Which dinosaur had three horns and a bony frill? | Triceratops | Stegosaurus | Ankylosaurus | Allosaurus
M | Which dinosaur had plates along its back and spikes on its tail? | Stegosaurus | Triceratops | Iguanodon | Diplodocus
M | What is the study of fossils called? | Paleontology | Archaeology | Geology | Anthropology
M | Which flying reptiles lived alongside the dinosaurs? | Pterosaurs | Pteranodons only | Archaeopteryx | Ichthyosaurs
M | What most likely ended the age of dinosaurs? | An asteroid impact | An ice age | A pandemic | A supernova
H | Which early bird-like fossil links dinosaurs and birds? | Archaeopteryx | Velociraptor | Compsognathus | Deinonychus
H | Which extinct sea creatures are common fossils of the Paleozoic? | Trilobites | Ammonites | Belemnites | Crinoids
H | Which method dates organic remains up to about fifty thousand years? | Carbon dating | Potassium dating | Uranium dating | Tree ring dating
H | Which epoch is known as the last great ice age? | The Pleistocene | The Holocene | The Miocene | The Eocene
H | Which fossil hominin skeleton found in Ethiopia is called Lucy? | Australopithecus afarensis | Homo habilis | Homo erectus | Neanderthal
H | Which extinct elephant relative roamed the ice age north? | The woolly mammoth | The mastodon only | The gomphothere | The deinotherium
H | Which sticky tree resin preserves insects as fossils? | Amber | Tar | Resinite | Copal glass
H | Which California site preserves ice age animals in tar? | La Brea | Dinosaur Ridge | Ghost Ranch | Como Bluff

# --- Water and the ocean ---

E | What are the two gases that make up water? | Hydrogen and oxygen | Hydrogen and nitrogen | Oxygen and carbon | Helium and oxygen
E | What do we call the rise and fall of the sea each day? | Tides | Currents | Waves | Swells
M | What causes the tides? | The Moon's gravity | The wind | Earth's rotation alone | Ocean currents
