# Arts & Literature — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Books, painting, sculpture, concert music, the stage and the old myths.
# Movies, television and popular song live in Screen & Music, and nothing
# here trespasses on them.
#
# One trap peculiar to this theme: a title carrying a question mark would
# give the line two, and a prompt carries exactly one. Such titles are
# simply not asked about.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | arts
! name    | Arts & Literature
! icon    | book
! tint    | 0.62 0.45 0.34
! rank    | 3


# --- American novels ---

E | Who wrote The Adventures of Huckleberry Finn? | Mark Twain | Herman Melville | Jack London | Bret Harte
H | Who wrote Invisible Man? | Ralph Ellison | Richard Wright | James Baldwin | Chester Himes
H | Who wrote Their Eyes Were Watching God? | Zora Neale Hurston | Nella Larsen | Jessie Fauset | Ann Petry
H | Who wrote On the Road? | Jack Kerouac | Allen Ginsberg | William Burroughs | Neal Cassady
H | Who wrote The Age of Innocence? | Edith Wharton | Willa Cather | Ellen Glasgow | Gertrude Stein
H | Who wrote My Antonia? | Willa Cather | Edith Wharton | Sarah Orne Jewett | Hamlin Garland
H | Who wrote Native Son? | Richard Wright | Ralph Ellison | James Baldwin | Langston Hughes
H | Which novel of 1961 gave English the phrase for a no-win rule? | Catch-22 | The Naked and the Dead | From Here to Eternity | The Thin Red Line
H | Who wrote The Awakening in 1899? | Kate Chopin | Edith Wharton | Charlotte Perkins Gilman | Sarah Grand
H | Who wrote The Legend of Sleepy Hollow? | Washington Irving | Nathaniel Hawthorne | Edgar Allan Poe | James Fenimore Cooper

# --- Novels from elsewhere ---

E | Who wrote Pride and Prejudice? | Jane Austen | Charlotte Bronte | George Eliot | Elizabeth Gaskell
E | Who wrote Oliver Twist? | Charles Dickens | Thomas Hardy | Anthony Trollope | Wilkie Collins
E | Who wrote Romeo and Juliet? | William Shakespeare | Christopher Marlowe | Ben Jonson | John Webster
E | Who wrote Frankenstein? | Mary Shelley | Bram Stoker | Edgar Allan Poe | Ann Radcliffe
E | Who created Sherlock Holmes? | Arthur Conan Doyle | Agatha Christie | Wilkie Collins | G. K. Chesterton
E | Who wrote The Lord of the Rings? | J. R. R. Tolkien | C. S. Lewis | Terry Pratchett | Ursula Le Guin
E | Who wrote the Harry Potter novels? | J. K. Rowling | Philip Pullman | Roald Dahl | Eoin Colfer
M | Who wrote War and Peace? | Leo Tolstoy | Fyodor Dostoevsky | Ivan Turgenev | Nikolai Gogol
M | Who wrote Crime and Punishment? | Fyodor Dostoevsky | Leo Tolstoy | Anton Chekhov | Maxim Gorky
M | Who wrote Les Miserables? | Victor Hugo | Emile Zola | Gustave Flaubert | Honore de Balzac
M | Who wrote The Three Musketeers? | Alexandre Dumas | Victor Hugo | Jules Verne | Stendhal
M | Who wrote Twenty Thousand Leagues Under the Sea? | Jules Verne | H. G. Wells | Alexandre Dumas | Robert Louis Stevenson
M | Who wrote Don Quixote? | Miguel de Cervantes | Lope de Vega | Federico Garcia Lorca | Camilo Cela
M | Who wrote Nineteen Eighty-Four? | George Orwell | Aldous Huxley | H. G. Wells | Anthony Burgess
M | Who wrote Animal Farm? | George Orwell | Aldous Huxley | Arthur Koestler | Evelyn Waugh
M | Who wrote Brave New World? | Aldous Huxley | George Orwell | H. G. Wells | E. M. Forster
M | Who wrote Jane Eyre? | Charlotte Bronte | Emily Bronte | Anne Bronte | Jane Austen
M | Who wrote Wuthering Heights? | Emily Bronte | Charlotte Bronte | Elizabeth Gaskell | George Eliot
M | Who wrote Dracula? | Bram Stoker | Mary Shelley | Sheridan Le Fanu | Arthur Machen
M | Who wrote A Christmas Carol? | Charles Dickens | Washington Irving | Robert Louis Stevenson | Thomas Hardy
M | Who wrote Treasure Island? | Robert Louis Stevenson | Daniel Defoe | Jules Verne | Rudyard Kipling
M | Who wrote Alice's Adventures in Wonderland? | Lewis Carroll | Edward Lear | J. M. Barrie | Kenneth Grahame
H | Who wrote One Hundred Years of Solitude? | Gabriel Garcia Marquez | Mario Vargas Llosa | Jorge Luis Borges | Julio Cortazar
H | Who wrote Things Fall Apart? | Chinua Achebe | Wole Soyinka | Ngugi wa Thiong'o | Ben Okri
H | Who wrote The Metamorphosis? | Franz Kafka | Thomas Mann | Hermann Hesse | Robert Musil
H | Who wrote Madame Bovary? | Gustave Flaubert | Emile Zola | Guy de Maupassant | Stendhal
H | Who wrote The Divine Comedy? | Dante Alighieri | Petrarch | Boccaccio | Ariosto
H | Who wrote The Picture of Dorian Gray? | Oscar Wilde | Bram Stoker | Thomas Hardy | George Meredith
H | Who wrote Robinson Crusoe? | Daniel Defoe | Jonathan Swift | Samuel Richardson | Henry Fielding
H | Who wrote Gulliver's Travels? | Jonathan Swift | Daniel Defoe | Laurence Sterne | Tobias Smollett
H | Who wrote The Little Prince? | Antoine de Saint-Exupery | Jean Giono | Andre Gide | Albert Camus
H | Who wrote The Stranger? | Albert Camus | Jean-Paul Sartre | Andre Malraux | Simone de Beauvoir
H | Who wrote Anna Karenina? | Leo Tolstoy | Fyodor Dostoevsky | Ivan Bunin | Boris Pasternak
H | Which epic poem tells of a hero's ten-year voyage home from Troy? | The Odyssey | The Iliad | The Aeneid | Beowulf
H | Which epic poem tells of the wrath of Achilles? | The Iliad | The Odyssey | The Aeneid | Gilgamesh

# --- Shakespeare ---

E | Which Shakespeare play features a prince of Denmark? | Hamlet | Macbeth | Othello | King Lear
E | In which Italian city is Romeo and Juliet set? | Verona | Venice | Florence | Padua
M | Which Shakespeare play features three witches on a heath? | Macbeth | Hamlet | The Tempest | Julius Caesar
M | Which Shakespeare play features a moor of Venice and Iago? | Othello | Macbeth | Hamlet | Coriolanus
M | Which Shakespeare play features a king who divides his kingdom among daughters? | King Lear | Macbeth | Richard III | Henry V
M | Which Shakespeare play features Puck and a mischievous fairy king? | A Midsummer Night's Dream | The Tempest | As You Like It | Twelfth Night
M | In which Shakespeare play does a merchant borrow against a pound of flesh? | The Merchant of Venice | Timon of Athens | Measure for Measure | Cymbeline
M | Which Shakespeare play features a shipwreck and the magician Prospero? | The Tempest | A Midsummer Night's Dream | Pericles | The Winter's Tale
M | In which English town was Shakespeare born? | Stratford-upon-Avon | Canterbury | Oxford | Warwick
H | Which London theater is most associated with Shakespeare's company? | The Globe | The Rose | The Swan | The Curtain
H | Which Shakespeare line begins the famous soliloquy of Hamlet? | To be or not to be | Friends, Romans, countrymen | Now is the winter | All the world's a stage
H | Which play contains the line Friends, Romans, countrymen? | Julius Caesar | Coriolanus | Antony and Cleopatra | Titus Andronicus
H | How many lines does a Shakespearean sonnet have? | Fourteen | Twelve | Sixteen | Ten
H | Which meter did Shakespeare use most in his verse? | Iambic pentameter | Dactylic hexameter | Trochaic tetrameter | Anapestic trimeter
H | Which Shakespeare comedy features twins separated by shipwreck in Illyria? | Twelfth Night | The Comedy of Errors | Much Ado About Nothing | Love's Labour's Lost
H | Which Shakespeare play features the hunchbacked king who offers a horse for his kingdom? | Richard III | Henry IV | King John | Richard II

# --- Poets and poetry ---

E | Who wrote the poem The Raven? | Edgar Allan Poe | Walt Whitman | Emily Dickinson | Henry Longfellow
E | How many lines does a haiku traditionally have? | Three | Five | Four | Seven
M | Who wrote The Road Not Taken? | Robert Frost | Carl Sandburg | Wallace Stevens | William Carlos Williams
M | Who wrote Leaves of Grass? | Walt Whitman | Ralph Waldo Emerson | Henry Thoreau | Herman Melville
M | Which reclusive poet of Amherst wrote nearly two thousand short poems? | Emily Dickinson | Marianne Moore | Elizabeth Bishop | Sara Teasdale
M | Who wrote I Know Why the Caged Bird Sings? | Maya Angelou | Nikki Giovanni | Gwendolyn Brooks | Rita Dove
M | Who wrote The Song of Hiawatha? | Henry Wadsworth Longfellow | Walt Whitman | James Russell Lowell | John Greenleaf Whittier
M | How many syllables does a traditional haiku contain? | Seventeen | Fourteen | Twelve | Twenty
M | How many lines does a limerick have? | Five | Four | Six | Three
H | Who wrote The Waste Land? | T. S. Eliot | Ezra Pound | W. B. Yeats | W. H. Auden
H | Who wrote the Harlem Renaissance poem about a dream deferred? | Langston Hughes | Countee Cullen | Claude McKay | James Weldon Johnson
H | Which poet wrote Chicago and Fog? | Carl Sandburg | Robert Frost | Vachel Lindsay | Edgar Lee Masters
H | Who wrote Paradise Lost? | John Milton | John Donne | Andrew Marvell | Edmund Spenser
H | Who wrote The Canterbury Tales? | Geoffrey Chaucer | William Langland | John Gower | Thomas Malory
H | Who wrote the Ode on a Grecian Urn? | John Keats | Percy Shelley | Lord Byron | William Wordsworth
H | Which Romantic poet wrote Ozymandias? | Percy Bysshe Shelley | John Keats | Lord Byron | Samuel Coleridge
H | Which poet wrote The Rime of the Ancient Mariner? | Samuel Taylor Coleridge | William Wordsworth | Robert Southey | William Blake
H | Which poet wrote The Tyger? | William Blake | William Wordsworth | John Keats | Thomas Gray
H | Which Chilean poet won the Nobel Prize in 1971? | Pablo Neruda | Octavio Paz | Cesar Vallejo | Gabriela Mistral
H | What is a poem of fourteen lines with a strict rhyme scheme called? | A sonnet | An ode | An elegy | A ballad
H | What is a poem mourning the dead called? | An elegy | An ode | A sonnet | A eulogy
H | What do we call the repetition of the same starting sound in a line? | Alliteration | Assonance | Consonance | Onomatopoeia

# --- Books for younger readers ---

E | Which children's book features a pig named Wilbur and a spider? | Charlotte's Web | Stuart Little | The Trumpet of the Swan | Babe
E | Who wrote The Cat in the Hat? | Dr. Seuss | Shel Silverstein | Maurice Sendak | Eric Carle
E | Which book follows a boy named Max to an island of monsters? | Where the Wild Things Are | The Giving Tree | Goodnight Moon | The Snowy Day
E | Which caterpillar eats his way through a famous picture book? | The Very Hungry Caterpillar | The Grouchy Ladybug | The Mixed-Up Chameleon | The Busy Spider
M | Who wrote Charlie and the Chocolate Factory? | Roald Dahl | Roald Amundsen | C. S. Lewis | Michael Bond
M | Who wrote The Chronicles of Narnia? | C. S. Lewis | J. R. R. Tolkien | Philip Pullman | George MacDonald
M | Which book series begins with a boy receiving a letter by owl? | Harry Potter | Percy Jackson | Artemis Fowl | The Spiderwick Chronicles
M | Who wrote The Giving Tree? | Shel Silverstein | Dr. Seuss | Ezra Jack Keats | Tomie dePaola
M | Which novel follows a girl on the Kansas prairie carried off by a cyclone? | The Wonderful Wizard of Oz | Little House on the Prairie | Anne of Green Gables | A Little Princess
M | Who wrote Anne of Green Gables? | Lucy Maud Montgomery | Louisa May Alcott | Frances Hodgson Burnett | Laura Ingalls Wilder
M | Who wrote The Secret Garden? | Frances Hodgson Burnett | Lucy Maud Montgomery | Kate Douglas Wiggin | Johanna Spyri
M | Who wrote the Little House books? | Laura Ingalls Wilder | Willa Cather | Carol Ryrie Brink | Rachel Field
H | Who wrote A Wrinkle in Time? | Madeleine L'Engle | Lois Lowry | Susan Cooper | Ursula Le Guin
H | Who wrote The Giver? | Lois Lowry | Madeleine L'Engle | Katherine Paterson | Jerry Spinelli
H | Who wrote Bridge to Terabithia? | Katherine Paterson | Lois Lowry | Beverly Cleary | Judy Blume
H | Which award honors the best American picture book each year? | The Caldecott Medal | The Newbery Medal | The Printz Award | The Coretta Scott King Award
H | Which award honors the best American children's novel each year? | The Newbery Medal | The Caldecott Medal | The National Book Award | The Pulitzer
H | Who created the bear called Paddington? | Michael Bond | A. A. Milne | Roald Dahl | Beatrix Potter
H | Who created Winnie-the-Pooh? | A. A. Milne | Michael Bond | Kenneth Grahame | Beatrix Potter
H | Who wrote The Wind in the Willows? | Kenneth Grahame | A. A. Milne | Beatrix Potter | E. Nesbit

# --- Painting ---

E | Who painted the Mona Lisa? | Leonardo da Vinci | Michelangelo | Raphael | Titian
E | Who painted The Starry Night? | Vincent van Gogh | Claude Monet | Paul Cezanne | Edvard Munch
E | Who painted Guernica? | Pablo Picasso | Salvador Dali | Joan Miro | Georges Braque
E | Who painted the water lilies of his own garden again and again? | Claude Monet | Edgar Degas | Pierre-Auguste Renoir | Camille Pissarro
E | Which painting shows a farmer and a woman before a pointed farmhouse window? | American Gothic | Christina's World | The Gleaners | Nighthawks
M | Who painted The Last Supper? | Leonardo da Vinci | Michelangelo | Raphael | Caravaggio
M | Who painted the ceiling frescoes of the Sistine Chapel? | Michelangelo | Raphael | Botticelli | Leonardo
M | Who painted The Persistence of Memory with its melting clocks? | Salvador Dali | Rene Magritte | Max Ernst | Giorgio de Chirico
M | Who painted Nighthawks, the late-night diner scene? | Edward Hopper | Grant Wood | Thomas Hart Benton | Charles Sheeler
M | Who painted American Gothic? | Grant Wood | Edward Hopper | Andrew Wyeth | John Steuart Curry
M | Who made silkscreens of soup cans and celebrities? | Andy Warhol | Roy Lichtenstein | Jasper Johns | Robert Rauschenberg
M | Who painted The Scream? | Edvard Munch | Vincent van Gogh | Egon Schiele | James Ensor
M | Who painted The Birth of Venus? | Sandro Botticelli | Raphael | Titian | Giorgione
M | Which American painter is known for large flowers and Southwest landscapes? | Georgia O'Keeffe | Mary Cassatt | Helen Frankenthaler | Lee Krasner
M | Who painted by dripping and pouring onto canvas on the floor? | Jackson Pollock | Mark Rothko | Willem de Kooning | Franz Kline
M | Who painted Girl with a Pearl Earring? | Johannes Vermeer | Rembrandt | Frans Hals | Pieter de Hooch
M | Who painted The Night Watch? | Rembrandt | Vermeer | Rubens | Van Dyck
H | Who painted The School of Athens in the Vatican? | Raphael | Michelangelo | Leonardo | Bramante
H | Which American illustrator painted decades of magazine covers of small-town life? | Norman Rockwell | Maxfield Parrish | N. C. Wyeth | Howard Pyle
H | Who painted the Migration Series about the Great Migration? | Jacob Lawrence | Romare Bearden | Aaron Douglas | Horace Pippin
H | Who painted Christina's World? | Andrew Wyeth | Edward Hopper | Grant Wood | Charles Burchfield
H | Which Mexican painter is known for her self-portraits? | Frida Kahlo | Remedios Varo | Maria Izquierdo | Leonora Carrington
H | Which Mexican muralist painted vast works on public walls? | Diego Rivera | David Siqueiros | Jose Orozco | Rufino Tamayo
H | Who painted Las Meninas? | Diego Velazquez | Francisco Goya | El Greco | Murillo
H | Who painted the Third of May 1808? | Francisco Goya | Diego Velazquez | Eugene Delacroix | Jacques-Louis David
H | Who painted Liberty Leading the People? | Eugene Delacroix | Jacques-Louis David | Theodore Gericault | Gustave Courbet
H | Who painted comic-strip panels enlarged with printed dots? | Roy Lichtenstein | Andy Warhol | Claes Oldenburg | James Rosenquist
H | Who painted large soft rectangles of glowing color? | Mark Rothko | Barnett Newman | Clyfford Still | Ad Reinhardt
H | Which impressionist specialized in dancers and the ballet? | Edgar Degas | Claude Monet | Auguste Renoir | Berthe Morisot
H | Which American impressionist painted mothers and children in Paris? | Mary Cassatt | Georgia O'Keeffe | Cecilia Beaux | Lilla Perry
H | Who painted the ceiling of a chapel and also sculpted David? | Michelangelo | Donatello | Bernini | Cellini

# --- Movements and terms ---

E | Which art movement is named for a Monet painting of a sunrise? | Impressionism | Expressionism | Cubism | Realism
M | Which movement broke objects into geometric planes? | Cubism | Impressionism | Fauvism | Baroque
M | Which movement painted dreams and impossible scenes? | Surrealism | Realism | Neoclassicism | Romanticism
M | Which movement used images from advertising and comics? | Pop art | Op art | Minimalism | Dada
M | Which period of European art followed the Middle Ages and revived classical forms? | The Renaissance | The Baroque | The Rococo | The Gothic
M | Which style is known for drama, movement and deep shadow in the 1600s? | Baroque | Rococo | Gothic | Neoclassical
M | What do we call a painting made on wet plaster? | A fresco | A mural only | An icon | A triptych
M | What do we call a painting of a person's face and shoulders? | A portrait | A landscape | A still life | A tableau
M | What do we call a painting of arranged objects like fruit and vases? | A still life | A landscape | A portrait | A genre scene
H | Which New York movement made huge abstract canvases after the war? | Abstract expressionism | Precisionism | Ashcan realism | Regionalism
H | Which anti-art movement arose in Zurich during the First World War? | Dada | Futurism | Vorticism | Constructivism
H | Which movement celebrated speed and machines in early Italy? | Futurism | Cubism | Suprematism | Symbolism
H | Which technique uses strong contrast of light and dark? | Chiaroscuro | Sfumato | Impasto | Grisaille
H | Which technique blurs outlines with soft transitions, as in the Mona Lisa? | Sfumato | Chiaroscuro | Pointillism | Impasto
H | Which technique builds an image from small dots of pure color? | Pointillism | Impasto | Glazing | Scumbling
H | What do we call a three-panel painting? | A triptych | A diptych | A polyptych | A predella
H | What do we call the printing method that cuts an image into a metal plate? | Engraving | Lithography | Screen printing | Woodcut
H | Which Japanese woodblock print shows a towering wave near Mount Fuji? | The Great Wave off Kanagawa | Red Fuji | The Plum Garden | Sudden Shower
H | Which art form arranges small colored tiles into an image? | Mosaic | Fresco | Tapestry | Marquetry
H | Which Dutch movement used only straight lines and primary colors? | De Stijl | Bauhaus | Art Nouveau | Vienna Secession

# --- Sculpture and buildings ---

E | Who sculpted the marble David in Florence? | Michelangelo | Donatello | Bernini | Leonardo
M | Who sculpted The Thinker? | Auguste Rodin | Camille Claudel | Aristide Maillol | Antoine Bourdelle
M | Which American architect designed a house over a waterfall? | Frank Lloyd Wright | Louis Sullivan | Philip Johnson | Richard Neutra
M | Which New York skyscraper opened in 1931 and held the height record for decades? | The Empire State Building | The Chrysler Building | Rockefeller Center | The Woolworth Building
M | Which New York skyscraper is famous for its stainless steel crown? | The Chrysler Building | The Empire State Building | The Flatiron Building | One Liberty Plaza
M | Which style of architecture features pointed arches and flying buttresses? | Gothic | Romanesque | Baroque | Byzantine
M | Which ancient Greek temple crowns the Acropolis? | The Parthenon | The Erechtheion | The Temple of Zeus | The Theseion
H | Which architect designed the spiral Guggenheim Museum in New York? | Frank Lloyd Wright | Mies van der Rohe | Le Corbusier | Marcel Breuer
H | Which architect designed the titanium museum in Bilbao? | Frank Gehry | Zaha Hadid | Renzo Piano | Norman Foster
H | Which Catalan architect left an unfinished basilica in Barcelona? | Antoni Gaudi | Josep Puig | Lluis Domenech | Ricardo Bofill
H | Which sculptor made the mobiles that hang and turn in the air? | Alexander Calder | David Smith | Louise Nevelson | Isamu Noguchi
H | Which artist designed the Vietnam Veterans Memorial in Washington? | Maya Lin | Louise Bourgeois | Richard Serra | Claes Oldenburg
H | Which order of Greek column has a plain, simple capital? | Doric | Ionic | Corinthian | Tuscan
H | Which order of Greek column has scroll-shaped capitals? | Ionic | Doric | Corinthian | Composite
H | Which order of Greek column has capitals carved with leaves? | Corinthian | Doric | Ionic | Aeolic
H | Which style dominated American public buildings with domes and columns? | Neoclassical | Art deco | Brutalist | Prairie
H | Which Renaissance sculptor cast an early bronze David? | Donatello | Michelangelo | Ghiberti | Verrocchio
H | Which sculptor carved the four presidents at Mount Rushmore? | Gutzon Borglum | Daniel Chester French | Augustus Saint-Gaudens | Lorado Taft
H | Who sculpted the seated Lincoln in the Lincoln Memorial? | Daniel Chester French | Gutzon Borglum | Augustus Saint-Gaudens | Paul Manship

# --- Concert music ---

E | Which composer wrote nine symphonies and went deaf? | Ludwig van Beethoven | Wolfgang Mozart | Johann Bach | Franz Schubert
E | Which composer wrote The Nutcracker? | Pyotr Tchaikovsky | Igor Stravinsky | Sergei Prokofiev | Nikolai Rimsky-Korsakov
E | Which composer wrote The Four Seasons? | Antonio Vivaldi | Johann Bach | George Handel | Arcangelo Corelli
E | How many strings does a standard violin have? | Four | Six | Five | Three
M | Which composer wrote The Magic Flute? | Wolfgang Mozart | Ludwig van Beethoven | Joseph Haydn | Christoph Gluck
M | Which composer wrote the Brandenburg Concertos? | Johann Sebastian Bach | George Handel | Antonio Vivaldi | Georg Telemann
M | Which composer wrote Rhapsody in Blue? | George Gershwin | Aaron Copland | Leonard Bernstein | Cole Porter
M | Which composer wrote Appalachian Spring? | Aaron Copland | George Gershwin | Charles Ives | Samuel Barber
M | Which composer wrote Swan Lake? | Pyotr Tchaikovsky | Sergei Prokofiev | Leo Delibes | Adolphe Adam
M | Which oratorio contains the Hallelujah chorus? | Messiah | The Creation | Elijah | The Seasons
M | Which section of the orchestra includes the flute and the oboe? | The woodwinds | The brass | The strings | The percussion
M | Which section of the orchestra includes the trumpet and trombone? | The brass | The woodwinds | The strings | The percussion
M | Which instrument has eighty-eight keys? | The piano | The organ | The harpsichord | The accordion
M | How many players are in a string quartet? | Four | Three | Five | Six
H | Which composer wrote The Rite of Spring, which caused a riot in 1913? | Igor Stravinsky | Claude Debussy | Maurice Ravel | Bela Bartok
H | Which composer wrote Bolero? | Maurice Ravel | Claude Debussy | Erik Satie | Gabriel Faure
H | Which composer wrote the opera Aida? | Giuseppe Verdi | Giacomo Puccini | Gioachino Rossini | Vincenzo Bellini
H | Which composer wrote La Boheme? | Giacomo Puccini | Giuseppe Verdi | Ruggero Leoncavallo | Pietro Mascagni
H | Which composer wrote the Ring cycle of four operas? | Richard Wagner | Richard Strauss | Gustav Mahler | Anton Bruckner
H | Which American composer wrote the Fanfare for the Common Man? | Aaron Copland | Samuel Barber | Leonard Bernstein | Roy Harris
H | Which composer is known as the father of the symphony? | Joseph Haydn | Johann Bach | Wolfgang Mozart | Christoph Gluck
H | Which composer wrote the Unfinished Symphony? | Franz Schubert | Ludwig van Beethoven | Robert Schumann | Felix Mendelssohn
H | Which Beethoven symphony ends with a choral setting of a poem to joy? | The Ninth | The Fifth | The Third | The Seventh
H | Which composer wrote Clair de Lune? | Claude Debussy | Maurice Ravel | Erik Satie | Cesar Franck
H | Which instrument is the lowest in the string section? | The double bass | The cello | The viola | The harp
H | Which Italian word tells a musician to play very softly? | Pianissimo | Fortissimo | Allegro | Andante
H | Which Italian word tells a musician to play quickly? | Allegro | Adagio | Largo | Grave
H | How many lines does a musical staff have? | Five | Four | Six | Three

# --- The stage ---

E | Which New York street is a byword for American theater? | Broadway | Fifth Avenue | Wall Street | Madison Avenue
M | Which award honors the best of American theater each year? | The Tony Award | The Emmy | The Grammy | The Obie
M | Who wrote the play Death of a Salesman? | Arthur Miller | Tennessee Williams | Eugene O'Neill | Edward Albee
M | Who wrote the play A Streetcar Named Desire? | Tennessee Williams | Arthur Miller | William Inge | Clifford Odets
M | Who wrote the play The Crucible, about the Salem trials? | Arthur Miller | Tennessee Williams | Thornton Wilder | Lillian Hellman
M | Which musical is set in a New York gang rivalry and echoes Romeo and Juliet? | West Side Story | Guys and Dolls | On the Town | The Music Man
M | Which musical features a chandelier and a masked composer? | The Phantom of the Opera | Cats | Les Miserables | Miss Saigon
H | Which playwright wrote Long Day's Journey into Night? | Eugene O'Neill | Arthur Miller | Tennessee Williams | Clifford Odets
H | Which playwright wrote Our Town? | Thornton Wilder | Eugene O'Neill | Arthur Miller | Sam Shepard
H | Which playwright chronicled a century of Black life in Pittsburgh? | August Wilson | Lorraine Hansberry | Amiri Baraka | Suzan-Lori Parks
H | Which playwright wrote A Raisin in the Sun? | Lorraine Hansberry | August Wilson | Alice Childress | Ntozake Shange
H | Which composer and lyricist wrote Sweeney Todd and Into the Woods? | Stephen Sondheim | Andrew Lloyd Webber | Jerry Herman | Kander and Ebb
H | Which pair wrote Oklahoma and The Sound of Music? | Rodgers and Hammerstein | Lerner and Loewe | Kander and Ebb | Comden and Green
H | Which Irish playwright wrote Waiting for Godot? | Samuel Beckett | Sean O'Casey | Brian Friel | J. M. Synge
H | Which Norwegian playwright wrote A Doll's House? | Henrik Ibsen | August Strindberg | Knut Hamsun | Bjornson
H | Which Russian playwright wrote The Cherry Orchard? | Anton Chekhov | Maxim Gorky | Nikolai Gogol | Ivan Turgenev
H | What do we call a stage speech delivered by a character alone? | A soliloquy | A monologue | An aside | A prologue
H | What do we call a remark spoken to the audience but not to other characters? | An aside | A soliloquy | A chorus | An epilogue

# --- The old myths ---

E | Who was the king of the Greek gods? | Zeus | Poseidon | Apollo | Hades
E | Who was the Greek god of the sea? | Poseidon | Zeus | Hades | Hermes
E | Which Greek hero performed twelve labors? | Hercules | Theseus | Perseus | Jason
E | Which wooden animal hid Greek soldiers at Troy? | A horse | A bull | An elephant | A ram
M | Who was the Roman equivalent of Zeus? | Jupiter | Mars | Neptune | Saturn
M | Who was the Roman goddess of love? | Venus | Juno | Minerva | Diana
M | Who was the Greek goddess of wisdom? | Athena | Hera | Artemis | Demeter
M | Which Greek monster had snakes for hair? | Medusa | The Sphinx | Scylla | The Chimera
M | Which creature was half man and half bull in a labyrinth? | The Minotaur | The Centaur | The Satyr | The Cyclops
M | Who flew too near the sun on wings of wax? | Icarus | Phaethon | Bellerophon | Perseus
M | Whose box released every trouble into the world? | Pandora's | Cassandra's | Persephone's | Ariadne's
M | Which king turned all he touched to gold? | Midas | Croesus | Priam | Tantalus
M | Which Greek god was the messenger of the gods? | Hermes | Apollo | Ares | Hephaestus
M | Which Greek god ruled the underworld? | Hades | Poseidon | Cronus | Charon
H | Which Norse god wielded a hammer? | Thor | Odin | Loki | Balder
H | Which Norse god was the trickster? | Loki | Thor | Odin | Freyr
H | Which hall welcomed slain Norse warriors? | Valhalla | Asgard | Midgard | Niflheim
H | What was the Norse end of the world called? | Ragnarok | Yggdrasil | Bifrost | Fimbulwinter
H | Which Greek hero's only weak point was his heel? | Achilles | Ajax | Hector | Patroclus
