# Screen & Music — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Movies, television and popular song. Books, painting and concert music
# live in Arts & Literature, and nothing here trespasses on them.
#
# Two traps peculiar to this theme. A title carrying a question mark would
# give the line two, and a prompt carries exactly one — such titles are not
# asked about. And nothing here is a current chart, a running series or a
# living record: those go stale between the writing and the release.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | screen
! name    | Screen & Music
! icon    | music.note.tv
! tint    | 0.75 0.40 0.62
! rank    | 5


# --- The movies everyone has seen ---

E | In which film does a girl named Dorothy follow a yellow brick road? | The Wizard of Oz | Alice in Wonderland | Peter Pan | Mary Poppins
M | Which series followed an army surgical unit in the Korean War? | M*A*S*H | China Beach | Combat | Tour of Duty
M | Which anthology series was introduced by Rod Serling? | The Twilight Zone | The Outer Limits | Night Gallery | One Step Beyond
M | Which quiz show gives answers and asks for the question? | Jeopardy | Wheel of Fortune | The Price Is Right | Family Feud
M | Which game show has contestants spin a wheel and guess a phrase? | Wheel of Fortune | Jeopardy | Press Your Luck | Card Sharks
M | Which neighborhood show began each episode with a cardigan and sneakers? | Mister Rogers' Neighborhood | Captain Kangaroo | Romper Room | Sesame Street
M | Which cable channel launched in 1981 playing music videos? | MTV | VH1 | BET | CMT
M | Which puppet troupe was created by Jim Henson? | The Muppets | The Thunderbirds | Sifl and Olly | Fraggle only
H | Which drama followed a New Jersey crime family in therapy? | The Sopranos | The Wire | Boardwalk Empire | Oz
H | Which drama followed advertising executives on Madison Avenue in the 1960s? | Mad Men | The Hour | Pan Am | Halt and Catch Fire
H | Which western series ran for twenty years and starred James Arness? | Gunsmoke | Bonanza | The Rifleman | Rawhide
H | Which family western was set on the Ponderosa ranch? | Bonanza | Gunsmoke | The Big Valley | The High Chaparral
H | Which sitcom spun off from All in the Family and starred a Black family in Manhattan? | The Jeffersons | Good Times | Sanford and Son | What's Happening
H | Which series about a Black family in Brooklyn began as a Roots follow-up in 1977? | Roots itself was the miniseries | The Cosby Show | Good Times | Family Matters
H | Which 1977 miniseries traced an African American family from capture to freedom? | Roots | Holocaust | Shogun | North and South
H | Which network is nicknamed the Peacock Network? | NBC | CBS | ABC | Fox
H | Which network is nicknamed the Eye Network? | CBS | NBC | ABC | PBS
H | Which public network airs Sesame Street and Frontline? | PBS | NBC | CBS | HBO

# --- Animation ---

E | Which mouse first appeared in Steamboat Willie in 1928? | Mickey Mouse | Minnie Mouse | Felix the Cat | Oswald the Rabbit
E | Which was the first full-length animated feature from Disney? | Snow White and the Seven Dwarfs | Pinocchio | Fantasia | Bambi
E | Which 1995 film was the first feature made entirely with computer animation? | Toy Story | A Bug's Life | Shrek | Antz
E | Which cowboy doll and space ranger star in Toy Story? | Woody and Buzz | Woody and Rex | Buzz and Hamm | Andy and Sid
M | Which studio made Toy Story and Finding Nemo? | Pixar | DreamWorks | Blue Sky | Illumination
M | Which studio made Shrek and Kung Fu Panda? | DreamWorks | Pixar | Sony Animation | Laika
M | Which Warner Bros. rabbit asks what's up? | Bugs Bunny | Roger Rabbit | Br'er Rabbit | Peter Cottontail
M | Which cartoon cat forever chases a mouse named Jerry? | Tom | Sylvester | Felix | Top Cat
M | Which Disney film features a lion cub named Simba? | The Lion King | Bambi | The Jungle Book | Brother Bear
M | Which Disney film features a mermaid named Ariel? | The Little Mermaid | Moana | Aquamarine | Splash
M | Which Disney film features a beast and a girl named Belle? | Beauty and the Beast | Cinderella | Sleeping Beauty | Tangled
H | Which coyote endlessly chases a road runner? | Wile E. Coyote | Yosemite Sam | Marvin the Martian | Foghorn Leghorn
H | Which studio created the Looney Tunes shorts? | Warner Bros. | Disney | MGM | Universal
H | Which prehistoric family lived in Bedrock? | The Flintstones | The Jetsons | The Rubbles only | The Croods
H | Which cartoon family lived in the future in Orbit City? | The Jetsons | The Flintstones | Futurama's Planet Express | The Robinsons
H | Which Japanese animated film features a girl working in a bathhouse for spirits? | Spirited Away | My Neighbor Totoro | Princess Mononoke | Howl's Moving Castle
H | Which technique photographs models one frame at a time? | Stop motion | Rotoscoping | Cel animation | Motion capture
H | Which technique traces over filmed footage frame by frame? | Rotoscoping | Stop motion | Cel shading | Keyframing

# --- Rock and pop ---

E | Which band was made up of John, Paul, George and Ringo? | The Beatles | The Rolling Stones | The Who | The Kinks
E | Which English city did the Beatles come from? | Liverpool | Manchester | London | Birmingham
E | Which singer was known as the King of Rock and Roll? | Elvis Presley | Chuck Berry | Little Richard | Buddy Holly
E | Which Memphis mansion was Elvis Presley's home? | Graceland | Sun Studio | Beale House | Heartbreak Hall
E | Which singer was known as the King of Pop? | Michael Jackson | Prince | James Brown | Stevie Wonder
E | Which 1982 album became the best-selling record of all time? | Thriller | Back in Black | The Dark Side of the Moon | Rumours
M | Which 1969 festival drew half a million people to a New York farm? | Woodstock | Altamont | Monterey Pop | The Isle of Wight
M | Which Detroit record label gave the world the Supremes and the Temptations? | Motown | Stax | Chess | Atlantic
M | Which Memphis label recorded Otis Redding and Booker T? | Stax | Motown | Sun | Chess
M | Which Memphis studio first recorded Elvis Presley? | Sun Studio | Stax | Ardent | Royal
M | Which singer was known as the Queen of Soul? | Aretha Franklin | Diana Ross | Tina Turner | Gladys Knight
M | Which singer was known as the Godfather of Soul? | James Brown | Otis Redding | Sam Cooke | Wilson Pickett
M | Which band recorded The Dark Side of the Moon? | Pink Floyd | Led Zeppelin | Yes | Genesis
M | Which band recorded Stairway to Heaven? | Led Zeppelin | Deep Purple | Black Sabbath | Cream
M | Which singer was known as the Boss and came from New Jersey? | Bruce Springsteen | Bon Jovi | Billy Joel | Tom Petty
M | Which city is home to the Rock and Roll Hall of Fame? | Cleveland | Memphis | Nashville | Detroit
M | Which folk singer wrote Blowin' in the Wind and won a Nobel Prize? | Bob Dylan | Pete Seeger | Woody Guthrie | Joan Baez
H | Which guitarist played the national anthem at Woodstock? | Jimi Hendrix | Carlos Santana | Pete Townshend | Eric Clapton
H | Which band's members included Freddie Mercury and Brian May? | Queen | The Who | Genesis | Deep Purple
H | Which band recorded Rumours in 1977? | Fleetwood Mac | The Eagles | Steely Dan | The Doobie Brothers
H | Which band recorded Hotel California? | The Eagles | Fleetwood Mac | America | Poco
H | Which singer recorded Like a Rolling Stone in 1965? | Bob Dylan | Neil Young | Van Morrison | Roger McGuinn
H | Which group's harmony records defined the California surf sound? | The Beach Boys | Jan and Dean | The Ventures | The Surfaris
H | Which band from Seattle led the grunge wave with Nevermind? | Nirvana | Pearl Jam | Soundgarden | Alice in Chains
H | Which singer wrote and recorded Purple Rain? | Prince | Michael Jackson | Rick James | Terence Trent D'Arby
H | Which singer's records include Respect and Natural Woman? | Aretha Franklin | Etta James | Nina Simone | Mavis Staples
H | Which guitarist wrote Johnny B. Goode and shaped rock guitar? | Chuck Berry | Bo Diddley | Scotty Moore | Link Wray

# --- Country, jazz and the rest ---

E | Which city is the home of country music and the Grand Ole Opry? | Nashville | Memphis | Austin | Branson
E | Which singer was known as the Man in Black? | Johnny Cash | Willie Nelson | Waylon Jennings | Merle Haggard
M | Which singer wrote Jolene and founded a Tennessee theme park? | Dolly Parton | Loretta Lynn | Tammy Wynette | Patsy Cline
M | Which city is regarded as the birthplace of jazz? | New Orleans | Chicago | New York | Kansas City
M | Which trumpeter and singer was nicknamed Satchmo? | Louis Armstrong | Dizzy Gillespie | Miles Davis | Chet Baker
M | Which bandleader and composer wrote Take the A Train with his orchestra? | Duke Ellington | Count Basie | Glenn Miller | Benny Goodman
M | Which singer was known as the First Lady of Song and scatted? | Ella Fitzgerald | Billie Holiday | Sarah Vaughan | Dinah Washington
M | Which style of jazz emerged in the 1940s with fast tempos and complex chords? | Bebop | Swing | Dixieland | Cool jazz
M | Which trumpeter recorded Kind of Blue in 1959? | Miles Davis | Dizzy Gillespie | Clifford Brown | Freddie Hubbard
M | Which borough of New York is credited as the birthplace of hip-hop? | The Bronx | Brooklyn | Harlem | Queens
M | Which singer was known as Ol' Blue Eyes and came from Hoboken? | Frank Sinatra | Dean Martin | Bing Crosby | Tony Bennett
H | Which pianist and composer is called the father of ragtime? | Scott Joplin | Jelly Roll Morton | Fats Waller | James P. Johnson
H | Which Joplin rag was revived by a 1973 film? | The Entertainer | Maple Leaf Rag | Solace | Elite Syncopations
H | Which singer's voice defined the blues from Chattanooga in the 1920s? | Bessie Smith | Ma Rainey | Billie Holiday | Alberta Hunter
H | Which Mississippi bluesman's legend involves a crossroads bargain? | Robert Johnson | Muddy Waters | Son House | Charley Patton
H | Which Chicago bluesman recorded Hoochie Coochie Man? | Muddy Waters | Howlin' Wolf | Willie Dixon | Buddy Guy
H | Which composer wrote the score for West Side Story? | Leonard Bernstein | Stephen Sondheim | Jule Styne | Marvin Hamlisch
H | Which songwriter wrote God Bless America and White Christmas? | Irving Berlin | Cole Porter | George Gershwin | Jerome Kern
H | Which singer's version of White Christmas became a perennial best-seller? | Bing Crosby | Frank Sinatra | Nat King Cole | Perry Como
H | Which style of Latin music combines Cuban rhythms and big-band brass? | Salsa | Bossa nova | Tango | Merengue
H | Which Brazilian style gave the world The Girl from Ipanema? | Bossa nova | Samba | Forro | Choro
H | Which instrument is central to bluegrass and is played with fingerpicks? | The banjo | The fiddle | The mandolin | The dobro

# --- Screen people and screen words ---

E | Which actor played the boxer Rocky Balboa? | Sylvester Stallone | Arnold Schwarzenegger | Bruce Willis | Kurt Russell
E | Which actress played Dorothy in The Wizard of Oz? | Judy Garland | Shirley Temple | Deanna Durbin | Jane Powell
M | Which actor played Vito Corleone in The Godfather? | Marlon Brando | Al Pacino | Robert De Niro | James Caan
M | Which actor played Michael Corleone in The Godfather? | Al Pacino | Marlon Brando | Robert Duvall | John Cazale
M | Which actress starred in Roman Holiday and Breakfast at Tiffany's? | Audrey Hepburn | Grace Kelly | Elizabeth Taylor | Natalie Wood
M | Which actor is most associated with westerns and the nickname Duke? | John Wayne | Clint Eastwood | Gary Cooper | Randolph Scott
M | Which actress won four Academy Awards for acting, more than anyone? | Katharine Hepburn | Meryl Streep | Bette Davis | Ingrid Bergman
M | Which dancer partnered Ginger Rogers in a string of 1930s musicals? | Fred Astaire | Gene Kelly | Donald O'Connor | Dan Dailey
M | Which actor was the first Black performer to win the Academy Award for Best Actor? | Sidney Poitier | Denzel Washington | James Earl Jones | Harry Belafonte
H | Which actress was the first Black performer to win an acting Academy Award? | Hattie McDaniel | Dorothy Dandridge | Ethel Waters | Lena Horne
H | Which term describes the person who oversees a film's money and schedule? | The producer | The director | The gaffer | The showrunner
H | Which crew member is chief electrician on a film set? | The gaffer | The grip | The best boy only | The key grip
H | Which crew member handles camera support and rigging? | The grip | The gaffer | The foley artist | The dolly hand
H | Which crew member creates everyday sounds in post-production? | The foley artist | The mixer | The composer | The editor
H | Which shot shows a subject from a great distance? | A wide shot | A close-up | A two-shot | A cutaway
H | Which shot fills the frame with a face? | A close-up | A wide shot | An establishing shot | A long take
H | Which term describes a single uninterrupted run of camera time? | A take | A cut | A frame | A scene
H | Which term describes the arrangement of everything within the frame? | Mise-en-scene | Montage | Continuity | Blocking only
H | Which technique cuts many short shots together to compress time? | Montage | Match cut | Jump scare | Tracking
H | Which term describes an actor's stand-in for dangerous work? | A stunt double | A body double | An extra | An understudy
H | Which term describes performers filling the background of a scene? | Extras | Understudies | Doubles | Walk-ons only
H | How many frames per second is standard for film projection? | Twenty-four | Thirty | Sixty | Sixteen

# --- Openers ---

E | Which award statuette is a gold figure holding a sword? | The Oscar | The Emmy | The Grammy | The Tony
E | Which street in Los Angeles is lined with stars in the sidewalk? | Hollywood Boulevard | Sunset Strip | Rodeo Drive | Melrose Avenue
E | Which sign on a Los Angeles hillside spells out a film district? | The Hollywood sign | The Burbank sign | The Studio City sign | The Universal sign
E | Which device did families gather around to watch shows before streaming? | The television set | The radio only | The phonograph | The projector
E | What do we call a film that continues the story of an earlier one? | A sequel | A prequel | A remake | A spin-off
E | What do we call a film set before the story of an earlier one? | A prequel | A sequel | A reboot | A crossover
E | What do we call a new version of an older film? | A remake | A sequel | A prequel | A parody
E | What do we call a series that follows a character from another show? | A spin-off | A sequel | A pilot | A crossover
E | What do we call the first episode of a television series? | The pilot | The premiere only | The opener | The teaser
E | What do we call the short preview shown before a film? | A trailer | A teaser only | A short | A reel
E | What do we call the list of names shown at the end of a film? | The credits | The billing | The roll | The card
E | What do we call the music written for a film? | The score | The lyrics | The libretto | The cue sheet
E | What do we call the collection of songs featured in a film? | The soundtrack | The score only | The playlist | The setlist
E | What do we call an actor's audition for a role? | A screen test | A rehearsal | A callback only | A read-through
E | What do we call the written text of a film? | The screenplay | The score | The storyboard | The treatment only
E | What do we call the drawings that plan a film's shots? | The storyboard | The screenplay | The shot list only | The blueprint
M | What do we call a film shot in a documentary style about real events? | A documentary | A biopic | A mockumentary | A newsreel
M | What do we call a film about a real person's life? | A biopic | A documentary | A memoir film | A period piece
M | What do we call a comedy that imitates another film's style for laughs? | A parody | A satire only | A farce | A pastiche
M | What do we call a film released directly to home viewing? | A direct-to-video release | A limited release | A wide release | A platform release

# --- Franchises ---

E | Which secret agent carries the code number 007? | James Bond | Jason Bourne | Ethan Hunt | Jack Ryan
E | Which archaeologist wears a fedora and carries a bullwhip? | Indiana Jones | Allan Quatermain | Lara Croft | Rick O'Connell
E | Which series features a boy who survives a crash and a school of superheroes? | The X-Men | The Avengers | The Fantastic Four | The Justice League
E | Which caped hero protects Gotham City? | Batman | Superman | Spider-Man | Daredevil
E | Which hero comes from the planet Krypton? | Superman | Batman | Iron Man | Thor
E | Which hero was bitten by a radioactive spider? | Spider-Man | Batman | Ant-Man | Daredevil
M | Which actor first played James Bond on film, in 1962? | Sean Connery | Roger Moore | George Lazenby | David Niven
M | Which actor played Indiana Jones? | Harrison Ford | Kurt Russell | Tom Selleck | Michael Douglas
M | Which 2008 film launched the connected Marvel film series? | Iron Man | The Incredible Hulk | Thor | Captain America
M | Which director filmed The Lord of the Rings in New Zealand? | Peter Jackson | Guillermo del Toro | Ridley Scott | Sam Raimi
M | Which 1999 film asked its hero to choose a red or a blue pill? | The Matrix | Dark City | eXistenZ | Total Recall
M | Which 1984 film features a cyborg sent back in time to Los Angeles? | The Terminator | RoboCop | Blade Runner | Escape from New York
M | Which series follows a team pulling off impossible espionage missions? | Mission: Impossible | The Bourne series | Ocean's Eleven | Kingsman
M | Which series follows street racers and heists with a family theme? | The Fast and the Furious | Gone in 60 Seconds | Baby Driver | Death Race
H | Which actor played James Bond in seven films through the 1970s and 1980s? | Roger Moore | Sean Connery | Timothy Dalton | Pierce Brosnan
H | Which actor played James Bond only once, in 1969? | George Lazenby | Timothy Dalton | David Niven | Barry Nelson
H | Which author created James Bond in a series of novels? | Ian Fleming | John le Carre | Len Deighton | Frederick Forsyth
H | Which starship captain was played by Patrick Stewart? | Jean-Luc Picard | James Kirk | Benjamin Sisko | Kathryn Janeway
H | Which actor played Captain Kirk in the original Star Trek series? | William Shatner | Leonard Nimoy | DeForest Kelley | James Doohan
H | Which Star Wars character says the line about the Force being strong? | Obi-Wan Kenobi | Han Solo | Luke Skywalker | Yoda
H | Which prison drama of 1994 became a cable favorite despite a quiet release? | The Shawshank Redemption | The Green Mile | Cool Hand Luke | Escape from Alcatraz
H | Which 1991 thriller pairs an FBI trainee with an imprisoned psychiatrist? | The Silence of the Lambs | Manhunter | Se7en | Primal Fear

# --- Lines everyone knows ---

M | Which film gave us the line here's looking at you, kid? | Casablanca | Gone with the Wind | The Maltese Falcon | To Have and Have Not
M | Which film gave us the line may the Force be with you? | Star Wars | Star Trek | Dune | Flash Gordon
M | Which film gave us the line I'll be back? | The Terminator | Predator | Commando | Total Recall
M | Which film gave us the line there's no place like home? | The Wizard of Oz | Home Alone | It's a Wonderful Life | Meet Me in St. Louis
M | Which film gave us the line life is like a box of chocolates? | Forrest Gump | Big | Sleepless in Seattle | Rain Man
H | Which film gave us the line Houston, we have a problem? | Apollo 13 | The Right Stuff | Gravity | Marooned
H | Which film gave us the line show me the money? | Jerry Maguire | Wall Street | Boiler Room | Glengarry Glen Ross
H | Which film gave us the line go ahead, make my day? | Sudden Impact | Dirty Harry | Magnum Force | The Enforcer
H | Which film gave us the line I see dead people? | The Sixth Sense | The Others | Poltergeist | The Shining
H | Which film gave us the line I'm going to make him an offer he can't refuse? | The Godfather | Goodfellas | Scarface | The Untouchables
H | Which film gave us the line frankly, my dear, I don't give a damn? | Gone with the Wind | Casablanca | Rebecca | Jezebel
H | Which film gave us the line you're gonna need a bigger boat? | Jaws | The Perfect Storm | Moby Dick | Master and Commander

# --- More television ---

E | Which show features a large yellow bird teaching letters and numbers? | Sesame Street | Barney and Friends | Blue's Clues | Teletubbies
E | Which show follows detectives investigating crimes in two halves each episode? | Law and Order | NYPD Blue | Homicide | Hill Street Blues
M | Which drama followed a chemistry teacher turned drug manufacturer? | Breaking Bad | Weeds | Ozark | Better Call Saul only
M | Which comedy was filmed as a documentary about a paper company branch? | The Office | Parks and Recreation | Superstore | 30 Rock
M | Which drama followed survivors of a plane crash on a mysterious island? | Lost | Survivor | Yellowjackets | The Society
M | Which medical drama was set in a Chicago emergency room? | ER | Grey's Anatomy | Chicago Hope | St. Elsewhere
M | Which anchor was called the most trusted man in America? | Walter Cronkite | Edward Murrow | David Brinkley | Peter Jennings
M | Which broadcaster reported from London rooftops during the Blitz? | Edward R. Murrow | Walter Cronkite | Eric Sevareid | Howard K. Smith
M | Which late-night host led The Tonight Show for thirty years? | Johnny Carson | Jack Paar | Steve Allen | David Letterman
M | Which daytime host built a Chicago studio into a media empire? | Oprah Winfrey | Phil Donahue | Ellen DeGeneres | Merv Griffin
M | Which news program has ticked its way through Sunday nights since 1968? | 60 Minutes | 20/20 | Dateline | Nightline
M | Which competition series strands contestants who vote each other out? | Survivor | The Amazing Race | Big Brother | Fear Factor
H | Which series about a fantasy realm was based on novels by George R. R. Martin? | Game of Thrones | The Witcher | The Wheel of Time | Shannara
H | Which police drama was set in Baltimore and followed drugs and institutions? | The Wire | Homicide | The Shield | Southland
H | Which sitcom followed a Boston psychiatrist who moved to Seattle? | Frasier | Cheers | Wings | Becker
H | Which series followed advertising in a fictional New York agency called Sterling Cooper? | Mad Men | Bewitched | Thirtysomething | The Crazy Ones
H | Which variety host said really big show and hosted the Beatles in 1964? | Ed Sullivan | Jack Benny | Milton Berle | Sid Caesar
H | Which comedian was known as Mr. Television in the early days of the medium? | Milton Berle | Sid Caesar | Jackie Gleason | Red Skelton
H | Which sitcom about a bus driver and a sewer worker ran only one season in 1955? | The Honeymooners | The Life of Riley | Car 54 | The Bickersons
H | Which sketch series introduced the Coneheads and the Blues Brothers? | Saturday Night Live | SCTV | The Carol Burnett Show | Laugh-In
H | Which sitcom set in a Minneapolis newsroom starred Mary Tyler Moore? | The Mary Tyler Moore Show | Rhoda | Phyllis | Murphy Brown
H | Which children's series has a red monster named Elmo? | Sesame Street | The Muppet Show | Fraggle Rock | Between the Lions

# --- More movies, decade by decade ---

M | Which 1959 epic featured a chariot race and won eleven Academy Awards? | Ben-Hur | Spartacus | Quo Vadis | The Robe
M | Which 1965 musical follows a governess and seven Austrian children? | The Sound of Music | Mary Poppins | My Fair Lady | Oliver
M | Which 1964 musical features a flying nanny with an umbrella? | Mary Poppins | The Sound of Music | Bedknobs and Broomsticks | Chitty Chitty Bang Bang
M | Which 1978 musical is set in a 1950s high school? | Grease | Hairspray | Cry-Baby | American Graffiti
M | Which 1987 film features a summer resort and a dance lift? | Dirty Dancing | Footloose | Flashdance | Staying Alive
M | Which 1986 film follows Navy fighter pilots and their instructor? | Top Gun | Iron Eagle | The Right Stuff | Firefox
M | Which 1990 film left a boy home alone at Christmas? | Home Alone | Jingle All the Way | The Santa Clause | Uncle Buck
