# Sports & Games — one question per line.
#
# level | prompt ? | correct answer | decoy | decoy | decoy
# E easy · M medium · H hard
#
# Choices are shuffled at draw time: their order here means nothing.
# A decoy must be wrong but plausible — an absurd decoy does not make
# a question, it makes a question with three choices.
#
# Football, baseball, basketball and hockey first, the rest of the world
# after, and board and card games at the end.
#
# No current champions and no standing records. A deck that names whoever
# leads today is a deck that is wrong by next season, and nobody will write
# in to say so — they will simply stop trusting it. Rules, firsts and
# settled history only.

# What this theme declares — readable name, icon, color, and its
# place in the grid. These lines are not comments: without
# them the theme has no name.

! id      | sports
! name    | Sports & Games
! icon    | figure.run
! tint    | 0.88 0.52 0.24
! rank    | 4


# --- Football ---

E | How many players from one team are on the field in football? | Eleven | Ten | Twelve | Nine
H | Which player was nicknamed Mr. Hockey? | Gordie Howe | Wayne Gretzky | Bobby Orr | Maurice Richard
H | Which 1980 Olympic hockey upset is called the Miracle on Ice? | The United States over the Soviet Union | Canada over Sweden | Finland over the Soviet Union | The United States over Canada
H | Which trophy goes to the NHL's leading scorer in a season? | The Art Ross Trophy | The Hart Trophy | The Richard Trophy | The Lady Byng Trophy
H | Which is the oldest of the original six NHL franchises still playing? | The Montreal Canadiens | The Toronto Maple Leafs | The Boston Bruins | The Detroit Red Wings
H | What is it called when a team plays short-handed after a penalty? | A penalty kill | A power play | An icing call | A short shift

# --- Soccer ---

E | How many players from one team are on the field in soccer? | Eleven | Ten | Nine | Twelve
E | How long is a regulation soccer match? | Ninety minutes | Eighty minutes | One hundred minutes | Sixty minutes
E | Which tournament is soccer's world championship? | The World Cup | The Champions League | The Copa America | The Euros
E | How often is the soccer World Cup held? | Every four years | Every two years | Every three years | Every five years
M | Which country won the first men's World Cup, in 1930? | Uruguay | Brazil | Argentina | Italy
M | Which country hosted the first men's World Cup? | Uruguay | Brazil | Italy | France
M | Which card does a referee show to send a player off? | The red card | The yellow card | The black card | The blue card
M | Which card does a referee show as a formal warning? | The yellow card | The red card | The white card | The green card
M | Which Brazilian player is often called Pele? | Edson Arantes do Nascimento | Manuel Francisco dos Santos | Arthur Antunes Coimbra | Ricardo Izecson
M | Which US city hosted the final of the 1994 men's World Cup? | Pasadena | New York | Chicago | Dallas
M | Which country won the first Women's World Cup, in 1991? | The United States | Norway | Germany | China
H | Which country has won the most men's World Cups? | Brazil | Germany | Italy | Argentina
H | What is the penalty spot's distance from the goal line? | Twelve yards | Ten yards | Fifteen yards | Eighteen yards
H | Which competition crowns the best club team in Europe? | The Champions League | The World Cup | The Europa Cup | The Club Series
H | Which position is the only one allowed to handle the ball in play? | The goalkeeper | The sweeper | The center back | The captain
H | Which American won the Women's World Cup final on a penalty kick in 1999? | Brandi Chastain | Mia Hamm | Michelle Akers | Julie Foudy
H | Which league is the top level of professional soccer in the United States? | Major League Soccer | The NASL | The USL Championship | The A-League

# --- Tennis ---

E | What is a score of zero called in tennis? | Love | Nil | Blank | Duck
E | How many Grand Slam tournaments are played each year? | Four | Three | Five | Six
E | Which Grand Slam tournament is played on grass? | Wimbledon | The US Open | The French Open | The Australian Open
M | Which Grand Slam tournament is played on clay? | The French Open | Wimbledon | The US Open | The Australian Open
M | What is the score called when both players reach forty? | Deuce | Match point | Advantage | Break point
M | How many points does a player need to win a game from deuce? | Two in a row | One | Three in a row | Four
M | Which two Grand Slam tournaments are played on hard courts? | The Australian and US Opens | Wimbledon and the US Open | The French and Australian Opens | Wimbledon and the French Open
M | In which city is Wimbledon played? | London | Paris | Melbourne | New York
M | In which city is the French Open played? | Paris | Lyon | Nice | Marseille
H | Which stadium hosts the French Open? | Roland Garros | Flushing Meadows | Melbourne Park | Centre Court
H | Which American sisters both won Wimbledon singles titles? | Venus and Serena Williams | Chris and Jeanne Evert | Tracy and Cammy Austin | Lindsay and Ann Davenport
H | Which American woman won a famous 1973 exhibition against Bobby Riggs? | Billie Jean King | Chris Evert | Margaret Court | Martina Navratilova
H | What is a serve that the receiver cannot touch called? | An ace | A winner | A let | A fault
H | What is a serve that clips the net and lands in called? | A let | A fault | An ace | A double fault
H | How many sets does a man need to win a Grand Slam final? | Three | Two | Four | Five
H | What is winning all four Grand Slam titles in one year called? | A calendar Grand Slam | A career slam | A golden slam | A super slam

# --- Golf ---

E | How many holes are on a standard golf course? | Eighteen | Nine | Twelve | Twenty-four
E | What is a score of one under par on a hole called? | A birdie | An eagle | A bogey | A par
E | What is a score of one over par on a hole called? | A bogey | A birdie | An eagle | A double
M | What is a score of two under par on a hole called? | An eagle | A birdie | An albatross | A condor
M | Which major tournament awards a green jacket? | The Masters | The US Open | The PGA Championship | The Open Championship
M | Where is the Masters played every year? | Augusta National | Pebble Beach | St. Andrews | Pinehurst
M | Which Scottish course is called the home of golf? | St. Andrews | Carnoustie | Muirfield | Troon
M | How many clubs may a player carry in a round? | Fourteen | Twelve | Sixteen | Ten
M | Which stroke is played on the putting green? | The putt | The drive | The chip | The pitch
H | What is a score of three under par on a hole called? | An albatross | An eagle | A condor | A birdie
H | Which four tournaments make up the men's majors? | Masters, PGA, US Open, The Open | Masters, Ryder, US Open, The Open | Masters, PGA, Players, The Open | PGA, US Open, The Open, Memorial
H | Which team competition pits the United States against Europe? | The Ryder Cup | The Presidents Cup | The Walker Cup | The Solheim Cup only
H | Which team competition pits American women against European women? | The Solheim Cup | The Ryder Cup | The Curtis Cup | The Presidents Cup
H | Which golfer was nicknamed the Golden Bear? | Jack Nicklaus | Arnold Palmer | Gary Player | Tom Watson
H | What is a hole scored in one stroke called? | A hole in one | An eagle | An albatross | A double eagle

# --- Track, swimming and the Olympics ---

E | How often are the Summer Olympic Games held? | Every four years | Every two years | Every three years | Every five years
E | How many rings are on the Olympic flag? | Five | Four | Six | Three
E | What is the exact distance of a marathon? | 26.2 miles | 25 miles | 30 miles | 24.8 miles
M | Which American won four gold medals at the 1936 Berlin Olympics? | Jesse Owens | Ralph Metcalfe | Cornelius Johnson | Archie Williams
M | Which Olympic event combines running, swimming and cycling? | The triathlon | The pentathlon | The decathlon | The biathlon
M | How many events make up the decathlon? | Ten | Seven | Twelve | Eight
M | How many events make up the heptathlon? | Seven | Five | Ten | Eight
M | Which winter event combines cross-country skiing and rifle shooting? | The biathlon | The triathlon | The nordic combined | The skeleton
M | Which race is the shortest sprint on an Olympic track? | The 100 meters | The 200 meters | The 60 meters | The 400 meters
M | How many laps of a standard outdoor track make a mile? | About four | About three | About five | About six
M | Which American athlete won the decathlon and the pentathlon in 1912? | Jim Thorpe | Jesse Owens | Bob Mathias | Rafer Johnson
H | Which city hosted the first Winter Olympics, in 1924? | Chamonix | St. Moritz | Lake Placid | Garmisch
H | Which American city has hosted the Summer Olympics twice before 1990? | Los Angeles | St. Louis | Atlanta | Chicago
H | Which swimming stroke is swum on the back? | The backstroke | The breaststroke | The butterfly | The freestyle
H | Which swimming stroke is the fastest in competition? | The freestyle | The backstroke | The breaststroke | The butterfly
H | Which order do the strokes come in an individual medley? | Butterfly, back, breast, free | Free, back, breast, fly | Back, fly, breast, free | Breast, fly, back, free
H | Which field event throws a heavy metal ball from the shoulder? | The shot put | The discus | The hammer | The javelin
H | Which field event uses a flexible pole to clear a bar? | The pole vault | The high jump | The long jump | The triple jump
H | Which Olympic motto means faster, higher, stronger? | Citius, Altius, Fortius | Veni, Vidi, Vici | Ad Astra | Per Aspera
H | Which race is run over 26.2 miles at the end of the Summer Games? | The marathon | The 10,000 meters | The race walk | The steeplechase

# --- Cars, horses and other sports ---

E | Which race is called the greatest spectacle in racing and runs 500 miles? | The Indianapolis 500 | The Daytona 500 | The Coca-Cola 600 | The Brickyard 400
M | Which stock car race opens the NASCAR season each February? | The Daytona 500 | The Indianapolis 500 | The Southern 500 | The Talladega 500
M | Which three races make up horse racing's Triple Crown? | Kentucky Derby, Preakness, Belmont | Kentucky Derby, Travers, Belmont | Preakness, Belmont, Breeders' Cup | Derby, Preakness, Haskell
M | Which is the first leg of the Triple Crown each May? | The Kentucky Derby | The Preakness Stakes | The Belmont Stakes | The Wood Memorial
M | How far is the Kentucky Derby run? | A mile and a quarter | A mile | A mile and a half | Two miles
M | Which horse won the Triple Crown in 1973 by thirty-one lengths at Belmont? | Secretariat | Seattle Slew | Affirmed | Citation
M | How many rounds are in a modern championship boxing match? | Twelve | Fifteen | Ten | Eight
M | Which boxer called himself the Greatest and lit the 1996 Olympic flame? | Muhammad Ali | Joe Frazier | George Foreman | Sugar Ray Leonard
H | Which race is the most famous endurance event in France? | The 24 Hours of Le Mans | The Monaco Grand Prix | The Paris-Dakar | The Tour de France
H | Which cycling race ends on the Champs-Elysees each July? | The Tour de France | The Giro d'Italia | The Vuelta | Paris-Roubaix
H | Which jersey does the leader of the Tour de France wear? | Yellow | Green | Polka dot | White
H | Which sailing trophy is the oldest in international sport? | The America's Cup | The Admiral's Cup | The Fastnet Trophy | The Volvo Trophy
H | How many players are on a volleyball team on the court? | Six | Five | Seven | Four
H | How many players are on a water polo team in the water? | Seven | Six | Five | Eight
H | Which sport is played with a shuttlecock? | Badminton | Squash | Table tennis | Racquetball
H | Which sport uses stones and brooms on ice? | Curling | Bocce | Shuffleboard | Bowling
H | How many pins stand at the start of a bowling frame? | Ten | Nine | Twelve | Eight
H | What is a bowling score of three strikes in a row called? | A turkey | A hat trick | A triple | A hammer
H | What is the highest possible score in a game of bowling? | 300 | 250 | 200 | 350

# --- Board games and cards ---

E | How many squares are on a chessboard? | Sixty-four | Eighty-one | One hundred | Forty-nine
E | How many pieces does each player start with in chess? | Sixteen | Twelve | Twenty | Eight
E | What is the winning move in chess called? | Checkmate | Stalemate | Castling | En passant
E | How many cards are in a standard deck without jokers? | Fifty-two | Fifty-four | Forty-eight | Sixty
E | How many suits are in a standard deck of cards? | Four | Two | Three | Five
E | How many cards are in each suit of a standard deck? | Thirteen | Twelve | Ten | Fourteen
M | Which chess piece moves only diagonally? | The bishop | The rook | The knight | The queen
M | Which chess piece moves in an L shape? | The knight | The bishop | The rook | The king
M | Which chess piece is the most powerful on the board? | The queen | The king | The rook | The knight
M | What is it called when a king is not in check but has no legal move? | Stalemate | Checkmate | A draw by repetition | Zugzwang
M | Which move lets the king and rook switch places under conditions? | Castling | En passant | Promotion | The fork
M | How many dice are used in a standard game of craps? | Two | One | Three | Five
M | How many tiles does each player draw at the start of Scrabble? | Seven | Five | Ten | Six
M | Which Monopoly property is the most expensive on the American board? | Boardwalk | Park Place | Pennsylvania Avenue | Marvin Gardens
M | Which two Monopoly squares send a player to jail or let them out? | Go to Jail and Chance | Free Parking and Go | Community Chest only | Income Tax and Go
M | Which card game asks players to reach twenty-one without going over? | Blackjack | Poker | Bridge | Rummy
H | Which poker hand beats a full house? | Four of a kind | A flush | A straight | Three of a kind
H | Which poker hand is the highest possible? | A royal flush | Four of a kind | A straight flush | A full house
H | Which poker hand is made of five cards of the same suit? | A flush | A straight | A full house | Three of a kind
H | Which game uses black and white stones on a nineteen-line grid? | Go | Chess | Shogi | Backgammon
H | Which ancient game uses two rows of twelve points and doubling cubes? | Backgammon | Checkers | Mancala | Nine Men's Morris
H | How many squares does a checkerboard use for play? | Thirty-two | Sixty-four | Twenty-four | Forty-eight
H | Which chess opening moves the king's pawn two squares first? | The king's pawn opening | The Sicilian Defense | The Queen's Gambit | The English Opening
H | Which world chess champion beat a computer in 1996 and lost to one in 1997? | Garry Kasparov | Anatoly Karpov | Bobby Fischer | Vladimir Kramnik
H | Which American won the world chess championship in 1972? | Bobby Fischer | Paul Morphy | Samuel Reshevsky | Larry Evans
H | How many dominoes are in a standard double-six set? | Twenty-eight | Twenty-four | Thirty-two | Thirty-six
H | Which card game is played with bidding, trumps and a dummy hand? | Bridge | Poker | Hearts | Canasta
H | Which trivia board game divides questions into six colored categories? | Trivial Pursuit | Scattergories | Cranium | Balderdash

# --- Openers ---

E | Which sport is played at Fenway Park? | Baseball | Football | Basketball | Hockey
E | Which sport uses a bat, a diamond and a catcher's mitt? | Baseball | Cricket | Softball | Lacrosse
E | Which sport uses a puck and a rink? | Hockey | Basketball | Soccer | Curling
E | Which sport uses a racket and a net across a court? | Tennis | Golf | Baseball | Bowling
E | Which sport is played on a course with a small white ball and clubs? | Golf | Croquet | Polo | Cricket
E | In which sport would you find a quarterback and a linebacker? | Football | Baseball | Soccer | Rugby
E | In which sport do teams try to score a goal past a goalkeeper with their feet? | Soccer | Basketball | Volleyball | Handball
E | Which sport features a slam dunk? | Basketball | Volleyball | Tennis | Football
E | Which sport features a home run? | Baseball | Basketball | Football | Hockey
E | Which sport features a touchdown? | Football | Baseball | Soccer | Golf
E | Which sport features a hole in one? | Golf | Bowling | Darts | Archery
E | Which sport features a strike and a spare? | Bowling | Baseball | Cricket | Archery
E | Which sport is played on ice with a stone slid toward a target? | Curling | Hockey | Figure skating | Speed skating
E | Which piece of equipment does a boxer wear on the hands? | Gloves | Pads | Wraps only | Mitts
E | Which sport takes place in a pool over a set number of lengths? | Swimming | Rowing | Sailing | Diving
E | Which sport uses a bow and a target with colored rings? | Archery | Darts | Shooting | Fencing
E | Which sport is played with swords and protective masks? | Fencing | Boxing | Wrestling | Judo
E | Which sport is contested on a balance beam and uneven bars? | Gymnastics | Diving | Figure skating | Cheerleading
M | Which sport is played on a pitch with wickets and overs? | Cricket | Baseball | Rounders | Field hockey
M | Which sport uses a stick with a net to carry a ball? | Lacrosse | Field hockey | Hurling | Polo

# --- More football ---

M | Which position snaps the ball to start a play? | The center | The guard | The tackle | The fullback
M | What is it called when the defense tackles the quarterback behind the line? | A sack | A blitz | A tackle for loss only | An interception
M | What is it called when the defense catches a forward pass? | An interception | A fumble | A safety | A turnover on downs
M | What is it called when a ball carrier loses the ball before being down? | A fumble | An interception | An incompletion | A muff
M | What is it called when several defenders rush the passer at once? | A blitz | A stunt | A screen | A zone
M | How many points does a two-point conversion add after a touchdown? | Two | One | Three | Six
M | Which special teams play sends the ball downfield to start a half? | The kickoff | The punt | The field goal | The onside try
M | Which kick surrenders possession on fourth down? | The punt | The kickoff | The field goal | The extra point
H | Which quarterback and coach pair won the first two Super Bowls? | Bart Starr and Vince Lombardi | Joe Namath and Weeb Ewbank | Len Dawson and Hank Stram | Johnny Unitas and Don Shula
H | Which team is nicknamed America's Team? | The Dallas Cowboys | The New York Giants | The Washington franchise | The Chicago Bears
H | Which stadium is known as the Big House and seats over one hundred thousand? | Michigan Stadium | Ohio Stadium | Beaver Stadium | Neyland Stadium
H | Which trophy goes to the winner of the Army-Navy and Air Force series? | The Commander-in-Chief's Trophy | The Heisman | The Lambert Trophy | The Bednarik Award
H | Which college football conference is known as the Big Ten? | A Midwestern conference | A Southern conference | A Pacific conference | A Southwestern conference
H | Which position lines up on the end of the line and can catch or block? | The tight end | The guard | The nose tackle | The safety
H | How many players make up an offensive line? | Five | Four | Six | Seven

# --- More baseball ---

M | What is it called when a batter is hit by a pitch? | He takes first base | He strikes out | The pitch is a ball | The at-bat restarts
M | What is a batted ball caught before it touches the ground called? | A fly out | A ground out | A foul tip | A line drive single
M | What is it called when a runner advances by stealing without a hit? | A stolen base | A balk | A wild pitch only | A passed ball
M | What is it called when a pitcher illegally deceives a runner? | A balk | A wild pitch | A passed ball | An error
M | How many players bat in a National League lineup without a designated hitter? | Nine | Eight | Ten | Seven
M | What is the batting statistic that divides hits by at-bats? | Batting average | On-base percentage | Slugging percentage | OPS
M | What is it called when a batter hits a home run with the bases loaded? | A grand slam | A cycle | A walk-off | A triple play
M | What is it called when a batter hits a single, double, triple and home run in one game? | The cycle | The grand slam | The natural | The quadruple
H | Which league added the designated hitter first, in 1973? | The American League | The National League | The Pacific Coast League | The International League
H | Which player is credited with the most career hits in the majors? | Pete Rose | Ty Cobb | Hank Aaron | Stan Musial
H | Which pitcher won the most games in major league history? | Cy Young | Walter Johnson | Christy Mathewson | Warren Spahn
H | Which annual event lets teams select amateur players? | The amateur draft | The winter meetings | The rule five draft | The combine
H | Which pitch breaks downward sharply as it reaches the plate? | The curveball | The fastball | The changeup | The cutter
H | Which pitch is thrown to look fast but arrives slowly? | The changeup | The slider | The curveball | The sinker
H | Which two teams contest the oldest rivalry in the American League East? | The Yankees and the Red Sox | The Orioles and the Yankees | The Blue Jays and the Rays | The Red Sox and the Orioles

# --- More basketball, hockey and soccer ---

M | What is it called when a defender illegally makes contact with a shooter? | A shooting foul | A charge | A technical | A violation
M | What is it called when an offensive player runs into a set defender? | A charge | A block | A screen | A pick and roll
M | What is it called when a player sets a legal block to free a teammate? | A screen | A charge | A trap | A box out
M | What is it called when a player records double figures in two categories? | A double-double | A twofer | A double play | A pair
M | Which line marks where free throws are shot from? | The foul line | The baseline | The three-point line | The half-court line
M | Which hockey infraction sends the puck across two lines untouched? | Icing | Offside | Interference | High-sticking
M | Which hockey infraction has an attacker cross the blue line before the puck? | Offside | Icing | Hooking | Tripping
M | Which soccer restart follows a foul inside the penalty area? | A penalty kick | A free kick | A corner kick | A throw-in
M | Which soccer restart follows the ball going out over the touchline? | A throw-in | A goal kick | A corner kick | A drop ball
M | Which soccer restart follows a defender putting the ball over their own goal line? | A corner kick | A goal kick | A throw-in | A penalty
H | Which basketball violation keeps the offense in the paint too long? | Three seconds | Five seconds | Ten seconds | Eight seconds
H | Which basketball violation blocks a shot on its way down? | Goaltending | Basket interference only | Palming | Charging
H | Which award honors the NBA's best defensive player? | Defensive Player of the Year | The Hart Trophy | The Selke Trophy | The Gold Glove
H | Which hockey trophy goes to the playoff most valuable player? | The Conn Smythe Trophy | The Hart Trophy | The Vezina Trophy | The Norris Trophy
H | Which soccer award honors the best player of the year worldwide? | The Ballon d'Or | The Golden Boot | The Golden Ball | The World Trophy
H | Which soccer award honors the top scorer of a World Cup? | The Golden Boot | The Ballon d'Or | The Golden Glove | The Silver Ball

# --- More games and pastimes ---

E | How many players does a game of chess need? | Two | Four | Three | One
E | What do the letters on Scrabble tiles carry besides a letter? | A point value | A color | A number of turns | A wildcard mark
E | Which game asks players to sink an opponent's fleet on a grid? | Battleship | Risk | Stratego | Connect Four
E | Which game has players drop colored discs to make a row of four? | Connect Four | Checkers | Othello | Go
E | Which game uses a spinner and colored circles on a mat? | Twister | Candy Land | Chutes and Ladders | Operation
M | Which game has players guess a hidden word letter by letter on a wheel? | Hangman | Boggle | Charades | Pictionary
M | Which game asks players to draw clues without speaking? | Pictionary | Charades | Taboo | Password
M | Which game asks players to act out clues without speaking? | Charades | Pictionary | Taboo | Balderdash
M | Which game flips tiles between two colors on an eight-by-eight board? | Othello | Checkers | Go | Mancala
M | Which strategy game has players conquer territories with armies and dice? | Risk | Diplomacy | Axis and Allies | Stratego
M | Which game hides ranks and a flag behind facedown pieces? | Stratego | Risk | Battleship | Clue
M | Which game asks who did it, with what and where? | Clue | Mystery Date | Whodunit | Sleuth
M | How many letters does each player hold in a game of Boggle? | None, the letters are on dice in a grid | Seven | Ten | Twelve
H | Which card game has players avoid taking the queen of spades? | Hearts | Spades | Bridge | Euchre
